/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/111_test/dmc_sim_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 1
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 7000.0
client_weight = 1.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 3000
client_outstanding_ops = 100
client_reservation = 1000.0
client_limit = 0.0
client_weight = 1.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 900000
client_server_select_range = 20
client_iops_goal = 6000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 0.0
client_weight = 1.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 524172 millisecs
==== Client Data ====
     client:       0       1       2  total
        t_0: 1683.50 1684.00 1683.50 5051.00
        t_1: 1683.00 1683.00 1683.00 5049.00
        t_2: 1683.00 1682.50 1682.50 5048.00
        t_3: 1671.00 1671.50 1671.50 5014.00
        t_4: 1670.00 1671.00 1670.00 5011.00
        t_5: 1678.00 1677.50 1677.50 5033.00
        t_6: 1681.00 1681.00 1682.00 5044.00
      t_222:    0.00    0.00    0.00    0.00
      t_223:    0.00    0.00    0.00    0.00
      t_224:    0.00    0.00    0.00    0.00
      t_225:    0.00    0.00    0.00    0.00
      t_226:    0.00    0.00    0.00    0.00
      t_227:    0.00    0.00    0.00    0.00
      t_228:    0.00    0.00    0.00    0.00
      t_229: 4021.00    0.00    0.00 4021.00
      t_230: 4908.00    0.00    0.00 4908.00
      t_231: 5065.00    0.00    0.00 5065.00
      t_232: 5066.00    0.00    0.00 5066.00
      t_233: 5077.00    0.00    0.00 5077.00
      t_234: 5077.50    0.00    0.00 5077.50
      t_235:  785.50    0.00    0.00  785.50
      t_236:    0.00    0.00    0.00    0.00
      t_237:    0.00    0.00    0.00    0.00
      t_238:    0.00    0.00    0.00    0.00
      t_239:    0.00    0.00    0.00    0.00
      t_240:    0.00    0.00    0.00    0.00
      t_241:    0.00    0.00    0.00    0.00
      t_242: 1733.00    0.00    0.00 1733.00
      t_243: 5065.50    0.00    0.00 5065.50
      t_244: 5084.50    0.00    0.00 5084.50
      t_245: 5091.50    0.00    0.00 5091.50
      t_246: 5070.00    0.00    0.00 5070.00
      t_247: 5023.00    0.00    0.00 5023.00
      t_248: 2932.50    0.00    0.00 2932.50
      t_249:    0.00    0.00    0.00    0.00
      t_250:    0.00    0.00    0.00    0.00
      t_251:    0.00    0.00    0.00    0.00
      t_252:    0.00    0.00    0.00    0.00
      t_253:    0.00    0.00    0.00    0.00
      t_254:    0.00    0.00    0.00    0.00
      t_255:    0.00    0.00    0.00    0.00
      t_256: 4600.00    0.00    0.00 4600.00
      t_257: 5030.00    0.00    0.00 5030.00
      t_258: 5085.50    0.00    0.00 5085.50
      t_259: 5085.50    0.00    0.00 5085.50
      t_260: 4900.00    0.00    0.00 4900.00
      t_261: 4881.00    0.00    0.00 4881.00
      t_262:  417.50    0.00    0.00  417.50
      t_263:    0.00    0.00    0.00    0.00
    res_ops:       0  250387       0  250387
